No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,27.47B,41.09,89.54,0.37%,"1,069,594",S&P 500,41.09,2.18,0.50%,309.00M,1.32%,27.47B,25.10,14.99%,-6.16%,307.66M,-0.83%,683.00M,4.39,0.66,89.80%,1.43%,20.95%,5.24B,5.25,26.10%,1.18%,2.20,5.24%,15.43,5.80,7.40%,90.17,21.91%,4.32,20.75,9.35%,14.30%,61.13 - 93.04,4.96%,0.72,60.64,37.50%,15.20%,-3.76%,1.12,0.80%,1.20,5.00%,53.70%,46.47%,1.86,16370,1.60,0.00%,15.10%,60.21,1.52% 2.17%,Yes,0.52,-42.90%,13.00%,0.53,89.21,Yes,0.38,May 21 AMC,30.50%,2.00M,89.54,2.40,1.84%,5.74%,11.42%,"1,069,594",0.37%
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.06B,-,11.09,-1.25%,"12,269,137",-,-,-4.56,0.60%,186.00M,-1.33%,2.06B,-,88.30%,0.05%,185.07M,-14.56%,-846.00M,-,-0.54,78.50%,6.20%,57.75%,10.10B,0.20,-559.70%,-11.46%,1.22,-47.98%,22.98,0.48,-5.80%,11.14,-50.09%,4.47,2.48,-,-19.00%,5.16 - 24.63,-48.44%,-,76.23,-34.10%,-9.60%,-54.97%,2.28,-,0.80,-4.50%,17.00%,114.92%,0.85,13800,1.50,-12.40%,-2.00%,51.72,7.12% 6.68%,Yes,0.42,139.80%,-8.40%,1.30,11.23,Yes,0.42,Jul 15 AMC,-,9.43M,11.09,2.70,-3.20%,13.70%,-24.32%,"12,269,137",-1.25%
3,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.24B,-,11.99,0.67%,"84,687,408",S&P 500,-,-1.87,1.10%,425.71M,-8.26%,6.24B,-,90.50%,0.95%,417.74M,-40.97%,-740.00M,-,-7.27,59.40%,30.94%,17.32%,43.70B,0.14,25.20%,-16.39%,1.30,-55.95%,-6.19,-,-1.20%,13.00,-62.95%,6.87,1.75,-9.44%,113.10%,8.25 - 34.99,-58.19%,0.40,-,-0.70%,10.30%,-65.73%,1.73,3.34%,0.30,1.40%,60.30%,45.33%,1.52,133000,0.40,-19.50%,0.30%,42.06,7.60% 8.60%,Yes,-,-,-1.70%,0.85,11.91,Yes,-,Apr 30 BMO,-,99.18M,11.99,3.30,-18.38%,-4.70%,-43.48%,"84,687,408",0.67%
4,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.00B,-,43.82,0.85%,"577,782",-,-,-5.10,1.30%,66.82M,-3.48%,3.00B,10.90,24.22%,0.00%,66.69M,-11.08%,-338.80M,-,0.78,-,4.15%,91.52%,4.04B,0.74,-83.50%,-1.54%,3.00,-23.91%,21.65,2.02,-9.50%,58.20,-29.85%,8.05,5.44,10.10%,-17.70%,13.01 - 78.65,-23.27%,0.16,10.79,-15.70%,2.10%,-44.28%,1.62,0.37%,-,7.90%,96.80%,236.95%,2.51,12100,-,8.80%,-9.30%,52.23,4.56% 5.64%,Yes,0.45,-676.70%,-7.50%,0.62,43.45,Yes,0.45,May 07 BMO,-,924.49K,43.82,1.90,-1.37%,13.78%,-8.89%,"577,782",0.85%
5,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,2.77B,44.30,54.27,-1.70%,"262,926",-,44.30,1.23,19.60%,52.07M,-0.04%,2.77B,39.04,-4.20%,-1.88%,40.58M,-6.14%,64.70M,3.69,0.38,71.30%,8.21%,15.59%,493.00M,5.62,27.00%,-3.67%,13.91,8.22%,5.88,9.23,17.70%,43.50,8.24%,-,-,12.00%,22.70%,40.48 - 60.00,9.84%,0.38,44.66,5.10%,18.10%,-9.55%,0.74,0.70%,1.90,5.70%,27.70%,34.06%,2.03,2290,3.10,20.80%,16.30%,53.56,3.55% 3.66%,Yes,0.02,147.20%,13.10%,1.10,55.21,Yes,0.02,May 07 BMO,25.80%,239.44K,54.27,3.30,1.16%,4.68%,7.76%,"262,926",-1.70%
6,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,9.44B,24.87,136.45,-0.17%,"1,344,335",S&P 500,24.87,5.49,0.40%,69.18M,-4.21%,9.44B,16.12,30.16%,2.40%,68.85M,-6.76%,388.00M,3.36,1.79,-,2.81%,37.22%,9.45B,1.00,21.10%,-1.27%,2.00,-11.93%,51.13,2.67,3.40%,146.85,-12.25%,18.51,7.37,7.40%,10.90%,71.33 - 171.43,-14.80%,1.00,26.85,0.40%,12.30%,-20.40%,1.31,0.73%,0.40,-0.30%,43.70%,91.30%,4.76,39000,1.40,-8.60%,5.80%,44.84,3.18% 3.65%,Yes,0.49,-68.20%,4.10%,1.39,136.68,Yes,0.35,May 19 BMO,8.90%,967.42K,136.45,2.30,-4.16%,0.99%,-2.47%,"1,344,335",-0.17%
7,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,1652.99B,29.90,381.37,2.33%,"28,969,339",DJIA S&P500,29.90,12.76,0.07%,4.36B,4.54%,1652.99B,25.69,19.69%,-3.29%,4.33B,14.37%,57.22B,2.61,2.00,62.00%,0.80%,47.00%,267.98B,6.17,-2.60%,-0.61%,0.97,27.81%,17.99,21.20,17.30%,345.22,89.51%,21.70,17.58,11.46%,64.50%,192.58 - 378.62,29.87%,3.28,31.42,13.00%,26.90%,0.73%,1.19,0.86%,1.50,7.30%,38.10%,98.03%,8.63,137000,1.50,0.50%,24.50%,72.12,1.50% 2.54%,Yes,1.40,3.80%,21.40%,0.81,372.69,Yes,1.14,Jul 30 AMC,23.90%,35.87M,381.37,2.00,7.05%,16.09%,33.24%,"28,969,339",2.33%
8,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,6.05B,-,96.93,0.91%,"661,398",-,-,-0.03,1.90%,59.61M,-1.22%,6.05B,70.55,16.34%,-17.54%,58.85M,-0.35%,-1.50M,-,0.17,83.80%,7.70%,40.56%,562.20M,10.76,-97.10%,-4.34%,3.72,38.93%,9.39,10.32,-0.20%,90.89,53.95%,5.53,17.52,30.00%,-0.30%,49.80 - 104.90,32.27%,-,75.43,-47.40%,-1.40%,-7.60%,0.79,-,2.90,26.40%,58.20%,94.64%,5.42,1323,3.20,27.10%,-1.70%,53.33,3.49% 5.63%,Yes,0.00,-37.20%,-0.30%,0.54,96.06,Yes,0.00,May 07 AMC,-,1.22M,96.93,2.10,0.90%,13.26%,32.76%,"661,398",0.91%
9,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.66B,10.37,27.30,3.02%,"150,775",-,10.37,2.63,0.20%,98.31M,0.22%,2.66B,10.11,8.60%,-69.88%,91.76M,2.32%,254.40M,7.22,0.59,21.80%,1.99%,35.55%,283.60M,9.40,-0.70%,-2.81%,4.26,-12.50%,15.41,1.77,17.00%,27.42,-9.24%,0.00,-,1.44%,17.00%,13.24 - 36.06,-9.78%,2.56,5329.51,6.40%,15.40%,-24.29%,1.53,9.38%,-,5.80%,-,106.19%,1.04,3811,-,32.90%,100.00%,59.18,2.82% 3.94%,Yes,0.00,29.80%,89.70%,0.35,26.50,Yes,0.00,Apr 28 BMO,96.10%,427.69K,27.30,2.30,3.90%,10.71%,-0.15%,"150,775",3.02%
10,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,52.61B,54.21,24.61,2.54%,"2,021,819",-,54.21,0.45,-,2.13B,9.09%,52.61B,24.49,52.97%,-,1.91B,12.17%,971.00M,3.71,0.10,4.20%,0.17%,38.80%,27.35B,1.92,-27.90%,-6.20%,1.39,1.40%,5.42,4.54,2.80%,23.07,31.67%,3.14,7.84,14.60%,10.00%,14.71 - 25.30,2.16%,0.83,40.91,-15.30%,5.20%,-2.73%,1.14,3.37%,1.00,-6.80%,31.60%,67.30%,0.54,144400,1.20,-9.20%,6.30%,78.28,1.14% 1.93%,Yes,1.10,-18.30%,4.70%,0.89,24.00,Yes,0.59,Jul 22 BMO,131.10%,2.27M,24.61,2.50,11.87%,21.74%,18.06%,"2,021,819",2.54%
